Date (UTC),Type,From account / from category,From subcategory,To account / to category,To subcategory,Amount 1,Currency 1,Amount 2,Currency 2,Commission,Commission currency,Tax,Tax currency,Comment
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Groceries,,76992,IDR,76992,IDR,,,,,Alfamart
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Groceries,,87042,IDR,87042,IDR,,,,,Supermarket
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Entertainment,,163462,IDR,163462,IDR,,,,,Movie
2025-04-29T17:00:00.000Z,Expense,Primary Account,,Health,,145825,IDR,145825,IDR,,,,,Vitamins
2025-04-30T17:00:00.000Z,Expense,Primary Account,,Food,,71339,IDR,71339,IDR,,,,,Dinner
2025-04-30T17:00:00.000Z,Expense,Primary Account,,Others,,199133,IDR,199133,IDR,,,,,Misc
2025-04-30T17:00:00.000Z,Expense,Primary Account,,Health,,8594,IDR,8594,IDR,,,,,Medicine
2025-05-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-05-02T17:00:00.000Z,Expense,Primary Account,,Health,,148018,IDR,148018,IDR,,,,,Medicine
2025-05-02T17:00:00.000Z,Expense,Primary Account,,Others,,129017,IDR,129017,IDR,,,,,Misc
2025-05-02T17:00:00.000Z,Expense,Primary Account,,Health,,142228,IDR,142228,IDR,,,,,Medicine
2025-05-03T17:00:00.000Z,Expense,Primary Account,,Personal Care,,99699,IDR,99699,IDR,,,,,Shampoo
2025-05-03T17:00:00.000Z,Expense,Primary Account,,Transport,,60007,IDR,60007,IDR,,,,,Gojek
2025-05-04T17:00:00.000Z,Expense,Primary Account,,Groceries,,115934,IDR,115934,IDR,,,,,Alfamart
2025-05-04T17:00:00.000Z,Expense,Primary Account,,Transport,,179888,IDR,179888,IDR,,,,,Grab
2025-05-04T17:00:00.000Z,Expense,Primary Account,,Personal Care,,123745,IDR,123745,IDR,,,,,Shampoo
2025-05-04T17:00:00.000Z,Expense,Primary Account,,Food,,139566,IDR,139566,IDR,,,,,Coffee
2025-05-05T17:00:00.000Z,Expense,Primary Account,,Groceries,,164023,IDR,164023,IDR,,,,,Supermarket
2025-05-05T17:00:00.000Z,Expense,Primary Account,,Food,,171166,IDR,171166,IDR,,,,,Dinner
2025-05-06T17:00:00.000Z,Expense,Primary Account,,Bills,,143951,IDR,143951,IDR,,,,,Water
2025-05-07T17:00:00.000Z,Expense,Primary Account,,Others,,136488,IDR,136488,IDR,,,,,Random purchase
2025-05-08T17:00:00.000Z,Expense,Primary Account,,Groceries,,118841,IDR,118841,IDR,,,,,Indomaret
2025-05-08T17:00:00.000Z,Expense,Primary Account,,Health,,6493,IDR,6493,IDR,,,,,Checkup
2025-05-08T17:00:00.000Z,Expense,Primary Account,,Food,,79413,IDR,79413,IDR,,,,,Lunch
2025-05-09T17:00:00.000Z,Expense,Primary Account,,Health,,128400,IDR,128400,IDR,,,,,Medicine
2025-05-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,186923,IDR,186923,IDR,,,,,Soap
2025-05-12T17:00:00.000Z,Expense,Primary Account,,Transport,,67227,IDR,67227,IDR,,,,,Fuel
2025-05-12T17:00:00.000Z,Expense,Primary Account,,Entertainment,,35851,IDR,35851,IDR,,,,,Netflix
2025-05-12T17:00:00.000Z,Expense,Primary Account,,Food,,26984,IDR,26984,IDR,,,,,Jajanan
2025-05-12T17:00:00.000Z,Expense,Primary Account,,Health,,170124,IDR,170124,IDR,,,,,Medicine
2025-05-12T17:00:00.000Z,Expense,Primary Account,,Personal Care,,15427,IDR,15427,IDR,,,,,Soap
2025-05-13T17:00:00.000Z,Expense,Primary Account,,Personal Care,,14050,IDR,14050,IDR,,,,,Skincare
2025-05-13T17:00:00.000Z,Expense,Primary Account,,Entertainment,,198599,IDR,198599,IDR,,,,,Spotify
2025-05-13T17:00:00.000Z,Expense,Primary Account,,Transport,,113452,IDR,113452,IDR,,,,,Gojek
2025-05-14T17:00:00.000Z,Expense,Primary Account,,Transport,,28390,IDR,28390,IDR,,,,,Grab
2025-05-15T17:00:00.000Z,Expense,Primary Account,,Others,,104037,IDR,104037,IDR,,,,,Misc
2025-05-15T17:00:00.000Z,Expense,Primary Account,,Transport,,81874,IDR,81874,IDR,,,,,Gojek
2025-05-15T17:00:00.000Z,Expense,Primary Account,,Others,,76774,IDR,76774,IDR,,,,,Misc
2025-05-15T17:00:00.000Z,Expense,Primary Account,,Bills,,38232,IDR,38232,IDR,,,,,Electricity
2025-05-16T17:00:00.000Z,Expense,Primary Account,,Entertainment,,14688,IDR,14688,IDR,,,,,Game top-up
2025-05-16T17:00:00.000Z,Expense,Primary Account,,Transport,,49644,IDR,49644,IDR,,,,,Grab
2025-05-16T17:00:00.000Z,Expense,Primary Account,,Health,,104911,IDR,104911,IDR,,,,,Checkup
2025-05-17T17:00:00.000Z,Expense,Primary Account,,Health,,9033,IDR,9033,IDR,,,,,Vitamins
2025-05-17T17:00:00.000Z,Expense,Primary Account,,Transport,,14450,IDR,14450,IDR,,,,,Grab
2025-05-18T17:00:00.000Z,Expense,Primary Account,,Entertainment,,41004,IDR,41004,IDR,,,,,Spotify
2025-05-18T17:00:00.000Z,Expense,Primary Account,,Others,,63138,IDR,63138,IDR,,,,,Misc
2025-05-19T17:00:00.000Z,Expense,Primary Account,,Entertainment,,115088,IDR,115088,IDR,,,,,Spotify
2025-05-19T17:00:00.000Z,Expense,Primary Account,,Entertainment,,111211,IDR,111211,IDR,,,,,Movie
2025-05-19T17:00:00.000Z,Expense,Primary Account,,Food,,20277,IDR,20277,IDR,,,,,Dinner
2025-05-20T17:00:00.000Z,Expense,Primary Account,,Health,,59303,IDR,59303,IDR,,,,,Checkup
2025-05-21T17:00:00.000Z,Expense,Primary Account,,Transport,,46604,IDR,46604,IDR,,,,,Fuel
2025-05-21T17:00:00.000Z,Expense,Primary Account,,Bills,,168189,IDR,168189,IDR,,,,,Water
2025-05-22T17:00:00.000Z,Expense,Primary Account,,Entertainment,,159822,IDR,159822,IDR,,,,,Movie
2025-05-24T17:00:00.000Z,Expense,Primary Account,,Health,,160710,IDR,160710,IDR,,,,,Medicine
2025-05-25T17:00:00.000Z,Expense,Primary Account,,Food,,120622,IDR,120622,IDR,,,,,Snack
2025-05-26T17:00:00.000Z,Expense,Primary Account,,Entertainment,,155821,IDR,155821,IDR,,,,,Game top-up
2025-05-27T17:00:00.000Z,Expense,Primary Account,,Food,,47487,IDR,47487,IDR,,,,,Snack
2025-05-29T17:00:00.000Z,Expense,Primary Account,,Bills,,62443,IDR,62443,IDR,,,,,Internet
2025-05-30T17:00:00.000Z,Expense,Primary Account,,Bills,,69203,IDR,69203,IDR,,,,,Internet
2025-05-30T17:00:00.000Z,Expense,Primary Account,,Transport,,26433,IDR,26433,IDR,,,,,Gojek
2025-05-31T17:00:00.000Z,Expense,Primary Account,,Transport,,95655,IDR,95655,IDR,,,,,Grab
2025-06-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-06-01T17:00:00.000Z,Expense,Primary Account,,Bills,,122700,IDR,122700,IDR,,,,,Water
2025-06-02T17:00:00.000Z,Expense,Primary Account,,Groceries,,148443,IDR,148443,IDR,,,,,Supermarket
2025-06-02T17:00:00.000Z,Expense,Primary Account,,Personal Care,,21165,IDR,21165,IDR,,,,,Soap
2025-06-02T17:00:00.000Z,Expense,Primary Account,,Food,,128765,IDR,128765,IDR,,,,,Snack
2025-06-02T17:00:00.000Z,Expense,Primary Account,,Others,,24445,IDR,24445,IDR,,,,,Misc
2025-06-04T17:00:00.000Z,Expense,Primary Account,,Groceries,,145737,IDR,145737,IDR,,,,,Supermarket
2025-06-04T17:00:00.000Z,Expense,Primary Account,,Transport,,92825,IDR,92825,IDR,,,,,Busway
2025-06-07T17:00:00.000Z,Expense,Primary Account,,Health,,158498,IDR,158498,IDR,,,,,Checkup
2025-06-07T17:00:00.000Z,Expense,Primary Account,,Bills,,145956,IDR,145956,IDR,,,,,Internet
2025-06-09T17:00:00.000Z,Expense,Primary Account,,Bills,,95201,IDR,95201,IDR,,,,,Electricity
2025-06-09T17:00:00.000Z,Expense,Primary Account,,Groceries,,49599,IDR,49599,IDR,,,,,Alfamart
2025-06-09T17:00:00.000Z,Expense,Primary Account,,Personal Care,,125439,IDR,125439,IDR,,,,,Soap
2025-06-09T17:00:00.000Z,Expense,Primary Account,,Food,,85326,IDR,85326,IDR,,,,,Snack
2025-06-10T17:00:00.000Z,Expense,Primary Account,,Entertainment,,154412,IDR,154412,IDR,,,,,Game top-up
2025-06-11T17:00:00.000Z,Expense,Primary Account,,Others,,126921,IDR,126921,IDR,,,,,Misc
2025-06-11T17:00:00.000Z,Expense,Primary Account,,Others,,161052,IDR,161052,IDR,,,,,Random purchase
2025-06-12T17:00:00.000Z,Expense,Primary Account,,Personal Care,,136976,IDR,136976,IDR,,,,,Skincare
2025-06-14T17:00:00.000Z,Expense,Primary Account,,Health,,165967,IDR,165967,IDR,,,,,Vitamins
2025-06-14T17:00:00.000Z,Expense,Primary Account,,Transport,,135037,IDR,135037,IDR,,,,,Grab
2025-06-15T17:00:00.000Z,Expense,Primary Account,,Health,,85141,IDR,85141,IDR,,,,,Vitamins
2025-06-15T17:00:00.000Z,Expense,Primary Account,,Health,,150882,IDR,150882,IDR,,,,,Checkup
2025-06-16T17:00:00.000Z,Expense,Primary Account,,Food,,46645,IDR,46645,IDR,,,,,Snack
2025-06-17T17:00:00.000Z,Expense,Primary Account,,Health,,156586,IDR,156586,IDR,,,,,Medicine
2025-06-18T17:00:00.000Z,Expense,Primary Account,,Groceries,,65036,IDR,65036,IDR,,,,,Alfamart
2025-06-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,141732,IDR,141732,IDR,,,,,Soap
2025-06-19T17:00:00.000Z,Expense,Primary Account,,Entertainment,,131504,IDR,131504,IDR,,,,,Spotify
2025-06-19T17:00:00.000Z,Expense,Primary Account,,Personal Care,,98460,IDR,98460,IDR,,,,,Shampoo
2025-06-20T17:00:00.000Z,Expense,Primary Account,,Transport,,19370,IDR,19370,IDR,,,,,Fuel
2025-06-21T17:00:00.000Z,Expense,Primary Account,,Bills,,17766,IDR,17766,IDR,,,,,Electricity
2025-06-21T17:00:00.000Z,Expense,Primary Account,,Transport,,176303,IDR,176303,IDR,,,,,Grab
2025-06-21T17:00:00.000Z,Expense,Primary Account,,Entertainment,,6042,IDR,6042,IDR,,,,,Game top-up
2025-06-22T17:00:00.000Z,Expense,Primary Account,,Others,,66012,IDR,66012,IDR,,,,,Random purchase
2025-06-22T17:00:00.000Z,Expense,Primary Account,,Groceries,,196551,IDR,196551,IDR,,,,,Alfamart
2025-06-22T17:00:00.000Z,Expense,Primary Account,,Health,,165339,IDR,165339,IDR,,,,,Vitamins
2025-06-24T17:00:00.000Z,Expense,Primary Account,,Food,,185976,IDR,185976,IDR,,,,,Dinner
2025-06-26T17:00:00.000Z,Expense,Primary Account,,Personal Care,,123025,IDR,123025,IDR,,,,,Skincare
2025-06-27T17:00:00.000Z,Expense,Primary Account,,Personal Care,,116856,IDR,116856,IDR,,,,,Soap
2025-06-27T17:00:00.000Z,Expense,Primary Account,,Entertainment,,66209,IDR,66209,IDR,,,,,Game top-up
2025-06-28T17:00:00.000Z,Expense,Primary Account,,Bills,,29233,IDR,29233,IDR,,,,,Internet
2025-06-28T17:00:00.000Z,Expense,Primary Account,,Transport,,199750,IDR,199750,IDR,,,,,Fuel
2025-06-29T17:00:00.000Z,Expense,Primary Account,,Bills,,118347,IDR,118347,IDR,,,,,Internet
2025-06-29T17:00:00.000Z,Expense,Primary Account,,Food,,57002,IDR,57002,IDR,,,,,Snack
2025-06-30T17:00:00.000Z,Expense,Primary Account,,Groceries,,173270,IDR,173270,IDR,,,,,Indomaret
2025-07-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-07-01T17:00:00.000Z,Expense,Primary Account,,Personal Care,,192660,IDR,192660,IDR,,,,,Shampoo
2025-07-01T17:00:00.000Z,Expense,Primary Account,,Others,,22111,IDR,22111,IDR,,,,,Random purchase
2025-07-01T17:00:00.000Z,Expense,Primary Account,,Food,,196161,IDR,196161,IDR,,,,,Lunch
2025-07-02T17:00:00.000Z,Expense,Primary Account,,Personal Care,,100771,IDR,100771,IDR,,,,,Soap
2025-07-03T17:00:00.000Z,Expense,Primary Account,,Groceries,,105313,IDR,105313,IDR,,,,,Supermarket
2025-07-04T17:00:00.000Z,Expense,Primary Account,,Food,,166130,IDR,166130,IDR,,,,,Jajanan
2025-07-05T17:00:00.000Z,Expense,Primary Account,,Others,,85540,IDR,85540,IDR,,,,,Random purchase
2025-07-07T17:00:00.000Z,Expense,Primary Account,,Food,,136374,IDR,136374,IDR,,,,,Lunch
2025-07-08T17:00:00.000Z,Expense,Primary Account,,Personal Care,,159192,IDR,159192,IDR,,,,,Skincare
2025-07-09T17:00:00.000Z,Expense,Primary Account,,Health,,167558,IDR,167558,IDR,,,,,Vitamins
2025-07-09T17:00:00.000Z,Expense,Primary Account,,Bills,,153897,IDR,153897,IDR,,,,,Water
2025-07-10T17:00:00.000Z,Expense,Primary Account,,Health,,179664,IDR,179664,IDR,,,,,Checkup
2025-07-10T17:00:00.000Z,Expense,Primary Account,,Transport,,170596,IDR,170596,IDR,,,,,Busway
2025-07-10T17:00:00.000Z,Expense,Primary Account,,Personal Care,,181430,IDR,181430,IDR,,,,,Skincare
2025-07-11T17:00:00.000Z,Expense,Primary Account,,Groceries,,45646,IDR,45646,IDR,,,,,Indomaret
2025-07-12T17:00:00.000Z,Expense,Primary Account,,Health,,104387,IDR,104387,IDR,,,,,Medicine
2025-07-12T17:00:00.000Z,Expense,Primary Account,,Health,,59433,IDR,59433,IDR,,,,,Checkup
2025-07-12T17:00:00.000Z,Expense,Primary Account,,Bills,,118530,IDR,118530,IDR,,,,,Electricity
2025-07-13T17:00:00.000Z,Expense,Primary Account,,Transport,,191379,IDR,191379,IDR,,,,,Busway
2025-07-13T17:00:00.000Z,Expense,Primary Account,,Personal Care,,171211,IDR,171211,IDR,,,,,Soap
2025-07-14T17:00:00.000Z,Expense,Primary Account,,Food,,166246,IDR,166246,IDR,,,,,Dinner
2025-07-14T17:00:00.000Z,Expense,Primary Account,,Bills,,143521,IDR,143521,IDR,,,,,Electricity
2025-07-15T17:00:00.000Z,Expense,Primary Account,,Personal Care,,17512,IDR,17512,IDR,,,,,Shampoo
2025-07-16T17:00:00.000Z,Expense,Primary Account,,Food,,173251,IDR,173251,IDR,,,,,Snack
2025-07-16T17:00:00.000Z,Expense,Primary Account,,Transport,,198718,IDR,198718,IDR,,,,,Gojek
2025-07-16T17:00:00.000Z,Expense,Primary Account,,Personal Care,,105195,IDR,105195,IDR,,,,,Skincare
2025-07-17T17:00:00.000Z,Expense,Primary Account,,Bills,,14762,IDR,14762,IDR,,,,,Electricity
2025-07-17T17:00:00.000Z,Expense,Primary Account,,Entertainment,,194346,IDR,194346,IDR,,,,,Movie
2025-07-17T17:00:00.000Z,Expense,Primary Account,,Personal Care,,81886,IDR,81886,IDR,,,,,Shampoo
2025-07-19T17:00:00.000Z,Expense,Primary Account,,Food,,98654,IDR,98654,IDR,,,,,Dinner
2025-07-19T17:00:00.000Z,Expense,Primary Account,,Food,,150539,IDR,150539,IDR,,,,,Coffee
2025-07-20T17:00:00.000Z,Expense,Primary Account,,Food,,17905,IDR,17905,IDR,,,,,Lunch
2025-07-21T17:00:00.000Z,Expense,Primary Account,,Bills,,187513,IDR,187513,IDR,,,,,Water
2025-07-21T17:00:00.000Z,Expense,Primary Account,,Health,,79856,IDR,79856,IDR,,,,,Medicine
2025-07-23T17:00:00.000Z,Expense,Primary Account,,Health,,146626,IDR,146626,IDR,,,,,Vitamins
2025-07-24T17:00:00.000Z,Expense,Primary Account,,Bills,,24736,IDR,24736,IDR,,,,,Electricity
2025-07-24T17:00:00.000Z,Expense,Primary Account,,Food,,16197,IDR,16197,IDR,,,,,Dinner
2025-07-25T17:00:00.000Z,Expense,Primary Account,,Bills,,107320,IDR,107320,IDR,,,,,Electricity
2025-07-26T17:00:00.000Z,Expense,Primary Account,,Food,,16340,IDR,16340,IDR,,,,,Coffee
2025-07-28T17:00:00.000Z,Expense,Primary Account,,Others,,122311,IDR,122311,IDR,,,,,Misc
2025-07-29T17:00:00.000Z,Expense,Primary Account,,Health,,42179,IDR,42179,IDR,,,,,Medicine
2025-07-29T17:00:00.000Z,Expense,Primary Account,,Entertainment,,104087,IDR,104087,IDR,,,,,Spotify
2025-07-29T17:00:00.000Z,Expense,Primary Account,,Groceries,,91365,IDR,91365,IDR,,,,,Indomaret
2025-08-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-08-01T17:00:00.000Z,Expense,Primary Account,,Groceries,,111819,IDR,111819,IDR,,,,,Indomaret
2025-08-02T17:00:00.000Z,Expense,Primary Account,,Groceries,,75141,IDR,75141,IDR,,,,,Alfamart
2025-08-02T17:00:00.000Z,Expense,Primary Account,,Groceries,,45981,IDR,45981,IDR,,,,,Supermarket
2025-08-03T17:00:00.000Z,Expense,Primary Account,,Health,,138930,IDR,138930,IDR,,,,,Checkup
2025-08-04T17:00:00.000Z,Expense,Primary Account,,Personal Care,,84771,IDR,84771,IDR,,,,,Soap
2025-08-04T17:00:00.000Z,Expense,Primary Account,,Food,,89538,IDR,89538,IDR,,,,,Lunch
2025-08-05T17:00:00.000Z,Expense,Primary Account,,Health,,131194,IDR,131194,IDR,,,,,Vitamins
2025-08-05T17:00:00.000Z,Expense,Primary Account,,Transport,,139129,IDR,139129,IDR,,,,,Fuel
2025-08-06T17:00:00.000Z,Expense,Primary Account,,Transport,,103522,IDR,103522,IDR,,,,,Fuel
2025-08-07T17:00:00.000Z,Expense,Primary Account,,Others,,115686,IDR,115686,IDR,,,,,Misc
2025-08-07T17:00:00.000Z,Expense,Primary Account,,Groceries,,76729,IDR,76729,IDR,,,,,Alfamart
2025-08-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,77271,IDR,77271,IDR,,,,,Spotify
2025-08-09T17:00:00.000Z,Expense,Primary Account,,Groceries,,98778,IDR,98778,IDR,,,,,Alfamart
2025-08-10T17:00:00.000Z,Expense,Primary Account,,Health,,90261,IDR,90261,IDR,,,,,Vitamins
2025-08-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,56456,IDR,56456,IDR,,,,,Shampoo
2025-08-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,136668,IDR,136668,IDR,,,,,Shampoo
2025-08-11T17:00:00.000Z,Expense,Primary Account,,Groceries,,134969,IDR,134969,IDR,,,,,Alfamart
2025-08-12T17:00:00.000Z,Expense,Primary Account,,Others,,63148,IDR,63148,IDR,,,,,Misc
2025-08-12T17:00:00.000Z,Expense,Primary Account,,Bills,,119964,IDR,119964,IDR,,,,,Water
2025-08-15T17:00:00.000Z,Expense,Primary Account,,Others,,26302,IDR,26302,IDR,,,,,Random purchase
2025-08-16T17:00:00.000Z,Expense,Primary Account,,Bills,,171325,IDR,171325,IDR,,,,,Water
2025-08-16T17:00:00.000Z,Expense,Primary Account,,Entertainment,,47312,IDR,47312,IDR,,,,,Netflix
2025-08-16T17:00:00.000Z,Expense,Primary Account,,Groceries,,196702,IDR,196702,IDR,,,,,Supermarket
2025-08-18T17:00:00.000Z,Expense,Primary Account,,Personal Care,,18304,IDR,18304,IDR,,,,,Shampoo
2025-08-18T17:00:00.000Z,Expense,Primary Account,,Entertainment,,19636,IDR,19636,IDR,,,,,Game top-up
2025-08-18T17:00:00.000Z,Expense,Primary Account,,Bills,,12797,IDR,12797,IDR,,,,,Water
2025-08-20T17:00:00.000Z,Expense,Primary Account,,Bills,,114768,IDR,114768,IDR,,,,,Electricity
2025-08-22T17:00:00.000Z,Expense,Primary Account,,Bills,,196830,IDR,196830,IDR,,,,,Electricity
2025-08-25T17:00:00.000Z,Expense,Primary Account,,Health,,146955,IDR,146955,IDR,,,,,Vitamins
2025-08-25T17:00:00.000Z,Expense,Primary Account,,Entertainment,,107849,IDR,107849,IDR,,,,,Spotify
2025-08-26T17:00:00.000Z,Expense,Primary Account,,Personal Care,,110532,IDR,110532,IDR,,,,,Soap
2025-08-26T17:00:00.000Z,Expense,Primary Account,,Bills,,176438,IDR,176438,IDR,,,,,Water
2025-08-27T17:00:00.000Z,Expense,Primary Account,,Food,,71491,IDR,71491,IDR,,,,,Jajanan
2025-08-27T17:00:00.000Z,Expense,Primary Account,,Transport,,123471,IDR,123471,IDR,,,,,Gojek
2025-08-28T17:00:00.000Z,Expense,Primary Account,,Transport,,62492,IDR,62492,IDR,,,,,Fuel
2025-08-28T17:00:00.000Z,Expense,Primary Account,,Food,,152280,IDR,152280,IDR,,,,,Coffee
2025-08-28T17:00:00.000Z,Expense,Primary Account,,Health,,55674,IDR,55674,IDR,,,,,Vitamins
2025-08-29T17:00:00.000Z,Expense,Primary Account,,Transport,,41725,IDR,41725,IDR,,,,,Busway
2025-08-29T17:00:00.000Z,Expense,Primary Account,,Bills,,195760,IDR,195760,IDR,,,,,Internet
2025-08-30T17:00:00.000Z,Expense,Primary Account,,Bills,,39930,IDR,39930,IDR,,,,,Electricity
2025-08-30T17:00:00.000Z,Expense,Primary Account,,Others,,178906,IDR,178906,IDR,,,,,Misc
2025-08-30T17:00:00.000Z,Expense,Primary Account,,Others,,128828,IDR,128828,IDR,,,,,Random purchase
2025-08-30T17:00:00.000Z,Expense,Primary Account,,Personal Care,,116340,IDR,116340,IDR,,,,,Skincare
2025-08-31T17:00:00.000Z,Expense,Primary Account,,Others,,91450,IDR,91450,IDR,,,,,Misc
2025-08-31T17:00:00.000Z,Expense,Primary Account,,Entertainment,,27868,IDR,27868,IDR,,,,,Movie
2025-08-31T17:00:00.000Z,Expense,Primary Account,,Personal Care,,160096,IDR,160096,IDR,,,,,Shampoo
2025-09-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-09-06T17:00:00.000Z,Expense,Primary Account,,Health,,168610,IDR,168610,IDR,,,,,Medicine
2025-09-06T17:00:00.000Z,Expense,Primary Account,,Others,,126657,IDR,126657,IDR,,,,,Random purchase
2025-09-07T17:00:00.000Z,Expense,Primary Account,,Others,,19929,IDR,19929,IDR,,,,,Misc
2025-09-08T17:00:00.000Z,Expense,Primary Account,,Bills,,78387,IDR,78387,IDR,,,,,Water
2025-09-09T17:00:00.000Z,Expense,Primary Account,,Health,,118948,IDR,118948,IDR,,,,,Vitamins
2025-09-09T17:00:00.000Z,Expense,Primary Account,,Entertainment,,130795,IDR,130795,IDR,,,,,Netflix
2025-09-09T17:00:00.000Z,Expense,Primary Account,,Bills,,133981,IDR,133981,IDR,,,,,Internet
2025-09-09T17:00:00.000Z,Expense,Primary Account,,Bills,,177223,IDR,177223,IDR,,,,,Electricity
2025-09-10T17:00:00.000Z,Expense,Primary Account,,Entertainment,,54279,IDR,54279,IDR,,,,,Movie
2025-09-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,161206,IDR,161206,IDR,,,,,Soap
2025-09-11T17:00:00.000Z,Expense,Primary Account,,Health,,103384,IDR,103384,IDR,,,,,Vitamins
2025-09-14T17:00:00.000Z,Expense,Primary Account,,Groceries,,53355,IDR,53355,IDR,,,,,Alfamart
2025-09-14T17:00:00.000Z,Expense,Primary Account,,Entertainment,,26214,IDR,26214,IDR,,,,,Spotify
2025-09-14T17:00:00.000Z,Expense,Primary Account,,Personal Care,,40876,IDR,40876,IDR,,,,,Skincare
2025-09-16T17:00:00.000Z,Expense,Primary Account,,Health,,172442,IDR,172442,IDR,,,,,Vitamins
2025-09-16T17:00:00.000Z,Expense,Primary Account,,Personal Care,,94656,IDR,94656,IDR,,,,,Skincare
2025-09-17T17:00:00.000Z,Expense,Primary Account,,Bills,,149811,IDR,149811,IDR,,,,,Water
2025-09-17T17:00:00.000Z,Expense,Primary Account,,Bills,,137028,IDR,137028,IDR,,,,,Water
2025-09-19T17:00:00.000Z,Expense,Primary Account,,Transport,,92226,IDR,92226,IDR,,,,,Grab
2025-09-20T17:00:00.000Z,Expense,Primary Account,,Health,,160690,IDR,160690,IDR,,,,,Vitamins
2025-09-21T17:00:00.000Z,Expense,Primary Account,,Transport,,155509,IDR,155509,IDR,,,,,Grab
2025-09-22T17:00:00.000Z,Expense,Primary Account,,Personal Care,,26077,IDR,26077,IDR,,,,,Soap
2025-09-23T17:00:00.000Z,Expense,Primary Account,,Entertainment,,178913,IDR,178913,IDR,,,,,Game top-up
2025-09-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,76453,IDR,76453,IDR,,,,,Alfamart
2025-09-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,25097,IDR,25097,IDR,,,,,Indomaret
2025-09-23T17:00:00.000Z,Expense,Primary Account,,Food,,8349,IDR,8349,IDR,,,,,Lunch
2025-09-23T17:00:00.000Z,Expense,Primary Account,,Groceries,,12512,IDR,12512,IDR,,,,,Supermarket
2025-09-24T17:00:00.000Z,Expense,Primary Account,,Food,,153260,IDR,153260,IDR,,,,,Lunch
2025-09-25T17:00:00.000Z,Expense,Primary Account,,Transport,,132371,IDR,132371,IDR,,,,,Busway
2025-09-25T17:00:00.000Z,Expense,Primary Account,,Others,,15432,IDR,15432,IDR,,,,,Random purchase
2025-09-28T17:00:00.000Z,Expense,Primary Account,,Personal Care,,179484,IDR,179484,IDR,,,,,Shampoo
2025-09-29T17:00:00.000Z,Expense,Primary Account,,Groceries,,108758,IDR,108758,IDR,,,,,Alfamart
2025-09-29T17:00:00.000Z,Expense,Primary Account,,Health,,98843,IDR,98843,IDR,,,,,Medicine
2025-10-01T17:00:00.000Z,Income,Company Payroll,,Primary Account,,7000000,IDR,7000000,IDR,,,,,Monthly Salary
2025-10-01T17:00:00.000Z,Expense,Primary Account,,Health,,30846,IDR,30846,IDR,,,,,Medicine
2025-10-01T17:00:00.000Z,Expense,Primary Account,,Entertainment,,96580,IDR,96580,IDR,,,,,Netflix
2025-10-03T17:00:00.000Z,Expense,Primary Account,,Personal Care,,181205,IDR,181205,IDR,,,,,Shampoo
2025-10-04T17:00:00.000Z,Expense,Primary Account,,Personal Care,,66697,IDR,66697,IDR,,,,,Shampoo
2025-10-04T17:00:00.000Z,Expense,Primary Account,,Groceries,,25580,IDR,25580,IDR,,,,,Alfamart
2025-10-08T17:00:00.000Z,Expense,Primary Account,,Transport,,186233,IDR,186233,IDR,,,,,Fuel
2025-10-08T17:00:00.000Z,Expense,Primary Account,,Entertainment,,150352,IDR,150352,IDR,,,,,Spotify
2025-10-09T17:00:00.000Z,Expense,Primary Account,,Food,,129460,IDR,129460,IDR,,,,,Snack
2025-10-09T17:00:00.000Z,Expense,Primary Account,,Bills,,164017,IDR,164017,IDR,,,,,Water
2025-10-10T17:00:00.000Z,Expense,Primary Account,,Health,,181408,IDR,181408,IDR,,,,,Vitamins
2025-10-10T17:00:00.000Z,Expense,Primary Account,,Groceries,,111134,IDR,111134,IDR,,,,,Supermarket
2025-10-11T17:00:00.000Z,Expense,Primary Account,,Personal Care,,96352,IDR,96352,IDR,,,,,Soap
2025-10-12T17:00:00.000Z,Expense,Primary Account,,Health,,25904,IDR,25904,IDR,,,,,Checkup
2025-10-13T17:00:00.000Z,Expense,Primary Account,,Food,,79265,IDR,79265,IDR,,,,,Coffee
2025-10-14T17:00:00.000Z,Expense,Primary Account,,Groceries,,167082,IDR,167082,IDR,,,,,Alfamart
